ingredients,Albertsons,Unnamed: 2,Amazon(brand) ,Unnamed: 4,Fred Meyers,Unnamed: 6,Winco,Unnamed: 8,Winco Bulk,Unnamed: 10,Trader Joes,Unnamed: 12,pricePerOzAlbertsons,pricePerOzAmazon(brand) ,pricePerOzFred Meyers,pricePerOzWinco,pricePerOzWinco Bulk,pricePerOzTrader Joes
bobsRedMillwholeWheatPastryFlour,5,80,17,1280,11,80,,,,,,,0.0625,0.01328125,0.1375,,,
bobsRedMillwholeWheaFlour,5,80,17,80,4.3,80,4,80,0.5,16,,,0.0625,0.2125,0.05375,0.05,0.03125,
allPuroseFlour,5,80,4.5,5,4.6,80,,,,,,,0.0625,0.9,0.0575,,,
AlmondFlour,10,16,30,64,9,16,9.5,16,9.1,16,6.99,16,0.625,0.46875,0.5625,0.59375,0.56875,0.436875
Oatmeal,,,,,7,42,,,0.7,16,,,,,0.166666667,,0.04375,
cocoaPowder,6,8,,,5.5,10,3.9,10,3.5,16,,,0.75,,0.55,0.39,0.21875,
wincoWholeWheatPastryFlour,,,,,,,,,0.88,16,,,,,,,0.055,
cakeFlour,,,,,4.8,32,3,26,0.48,16,,,,,0.15,0.115384615,0.03,
bobsRedMIllPastryFlour,7,80,37,80,,,,,,,,,0.0875,0.4625,,,,
PeaProteinPowder,,,15,27.52,,,,,8,16,,,,0.54505814,,,0.5,
soyProteinPowder,,,22.8,35.2,,,,,,,,,,0.647727273,,,,
brownRiceProteinPowder,,,22,32,,,,,,,,,,0.6875,,,,
wheyAndCaseinProteinPowder,,,40,28,,,,,,,,,,1.428571429,,,,
bakingSoda(teaspoons),5.5,64,,,1.5,16,1.2,16,0.82,16,,,0.0859375,,0.09375,0.075,0.05125,
bakingPowder(teaspoons),4,8,,,3.8,8,2.7,8,1.8,16,,,0.5,,0.475,0.3375,0.1125,
cinamon(teaspoons),7.5,1.25,,,4.5,2.37,4,4.1,,,,,6,,1.898734177,0.975609756,,
nutmeg(teaspoons),9.5,1.8,,,8.4,1.1,4,1.1,,,,,5.277777778,,7.636363636,3.636363636,,
cloves(teaspoons),8,1.75,,,11,1.9,,,,,,,4.571428571,,5.789473684,,,
ginger(teaspoons),8,1.25,,,5,1.5,,,,,,,6.4,,3.333333333,,,
cardamom(teaspoons),11.5,1.75,,,8.5,2,,,,,,,6.571428571,,4.25,,,
xanthamGum(teaspoons),13,8,20,16,10,8,,,,,,,1.625,1.25,1.25,,,
Salt(teaspoons),4.8,26,,,1.9,,1.7,26,,,,,0.184615385,,,0.065384615,,
guarGuam(teaspoons),,,,,,,,,,,,,,,,,,
cornStarch(teaspoons),3.5,16,,,,,2,16,1.3,16,,,0.21875,,,0.125,0.08125,
vanillaExtract(teaspoons),8.5,2,4,1,9.5,2,6.6,2,,,,,7,4,4.75,,,
Almond Extract(teaspoons),6.5,2,,,9.5,2,4,2,,,,,3.25,,4.75,2,,
Lemon Extract(teaspoons),6.5,2,4.4,2,9.5,2,4,2,,,,,3.25,2.2,4.75,2,,
espressoPowder(teaspoons),,,,,7,7,,,,,,,,,1,,,
bobsRedMillEggReplacer,5,12,,,,,4,12,,,,,0.416666667,,,0.333333333,,
flaxMeal,6,16,,,5.5,16,4,16,,,,,0.375,,0.34375,0.25,,
water,,,,,,,,,,,,,,,,,,
chiaSeeds,10.5,12,,,9,12,6.2,12,,,,,0.875,,0.75,0.516666667,,
whiteSugar,5,64,,,5,64,4,64,0.77,16,,,0.078125,,0.078125,0.0625,0.048125,
lightBrownSugar,4.3,32,,,4,32,3.3,32,0.93,16,,,0.134375,,0.125,0.103125,0.058125,
darkBrownSugar,,,,,4,32,,,0.93,16,,,,,0.125,,0.058125,
erythritol,,,27.7,5,,,,,,,,,,5.54,,,,
xylitol,,,17.9,2.5,,,,,,,,,,7.16,,,,
splendaSucralose,11,9.7,9.5,9.7,9.5,9.7,8.8,9.7,,,,,1.134020619,0.979381443,0.979381443,0.907216495,,
monkFruitAndAllulose,,,16,16,,,,,,,,,,1,,,,
allulose,,,27,48,6.5,12,,,,,,,,0.5625,0.541666667,,,
wincoMonkFruitAndErythritol,,,26,48,15,16,5,16,,,,,,,,0.3125,,
monk fruit extact,,,21.5,5,,,,,,,,,,4.3,,,,
inulin,,,15,16,,,,,,,,,,0.9375,,,,
coconutOil,11,23,5.5,15,6,14,5,30,,,,,0.47826087,0.366666667,0.428571429,0.166666667,,
better body food Coconut Oil,,,,,,,14.7,,,,,,,,,,,
vegtableOil,6,48,,,4,48,3.8,48,,,,,0.125,,0.083333333,0.079166667,,
canolaOil,6,48,,,4.5,48,4.25,48,,,,,0.125,,,0.088541667,,
earthBalanceButter,,,,,7,15,,,,,,,,,0.466666667,,,
Peanut Butter Powder,12,16,12,30,10.8,16,6.1,16,,,,,0.75,0.4,0.675,0.38125,,
mollasses ,6,12,,,5,12,,,,,,,0.5,,0.416666667,,,
Chocolate Chips,6,12,,,5.8,12,4.7,12,,,,,0.5,,0.483333333,0.391666667,,
sunflower butter,,,,,7.5,16,,,,,,,,,0.46875,,,
peanut butter,,,,,6,16,,,,,,,,,0.375,,,
dried blueberrries,,,,,5,3.5,,,,,,,,,1.428571429,,,
 nutritional yeast,,,18.5,16,6,4.5,5.7,4.8,9.9,16,,,,1.15625,1.333333333,1.1875,0.61875,
 organic cane sugar,,,,,,,,,1.4,16,,,,,,,0.0875,
bakers flour,,,,,,,,,0.48,16,,,,,,,0.03,
 premium bakers flour,,,,,,,,,0.58,16,,,,,,,0.03625,
gf bakers flour,,,,,,,,,2.48,16,,,,,,,0.155,
