ingredients,pricePerOzAlbertsons,pricePerOzAmazon(brand) ,pricePerOzFred Meyers,pricePerOzWinco,pricePerOzWinco Bulk,pricePerOzTrader Joes
bobsRedMillwholeWheatPastryFlour,0.0625,0.01328125,0.1375,,,
bobsRedMillwholeWheaFlour,0.0625,0.2125,0.05375,0.05,0.03125,
GoldMedal allPuroseFlour,0.0625,0.9,0.057499999999999996,,,
 AlmondFlour,0.625,0.46875,0.5625,0.59375,0.56875,0.436875
quakerOats,,,0.16666666666666666,,0.04375,
cocoaPowder,0.75,,0.55,0.39,0.21875,
WholeWheatPastryFlour,,,,,0.055,
cakeFlour,,,0.15,0.11538461538461539,0.03,
bobsRedMIllPastryFlour,0.0875,0.4625,,,,
PeaProteinPowder,,0.5450581395348837,,,0.5,
soyProteinPowder,,0.6477272727272727,,,,
brownRiceProteinPowder,,0.6875,,,,
wheyAndCaseinProteinPowder,,1.4285714285714286,,,,
bakingSoda(teaspoons),0.0859375,,0.09375,0.075,0.05125,
bakingPowder(teaspoons),0.5,,0.475,0.3375,0.1125,
McCormickcinamon(teaspoons),6.0,,1.8987341772151898,0.9756097560975611,,
McCormicknutmeg(teaspoons),5.277777777777778,,7.636363636363636,3.6363636363636362,,
McCormickcloves(teaspoons),4.571428571428571,,5.7894736842105265,,,
McCormickginger(teaspoons),6.4,,3.3333333333333335,,,
McCormickcardamom(teaspoons),6.571428571428571,,4.25,,,
xanthamGum(teaspoons),1.625,1.25,1.25,,,
brm xanthamGum(teaspoons),,,,,,
Salt(teaspoons),0.1846153846153846,,,0.06538461538461539,,
guarGuam(teaspoons),,,,,,
cornStarch(teaspoons),0.21875,,,0.125,0.08125,
vanillaExtract(teaspoons),7.0,4.0,4.75,,,
vanillaExtract(teaspoons),4.25,2.8125,,3.3,,
vanillaExtract(teaspoons),,,,3.75,,
Almond Extract(teaspoons),3.25,,4.75,2.0,,
Lemon Extract(teaspoons),3.25,2.2,4.75,2.0,,
espressoPowder(teaspoons),,,1.0,,,
bobsRedMillEggReplacer,0.4166666666666667,,,0.3333333333333333,,
flaxMeal,0.375,,0.34375,0.25,,
water,,,,,,
chiaSeeds,0.875,,0.75,0.5166666666666667,,
whiteSugar,0.078125,,0.078125,0.0625,0.048125,
lightBrownSugar,0.134375,,0.125,0.103125,0.058125,
darkBrownSugar,,,0.125,,0.058125,
erythritol,,5.54,,,,
xylitol,,7.159999999999999,,,,
splendaSucralose,1.1340206185567012,0.9793814432989691,0.9793814432989691,0.9072164948453609,,
monkFruitAndAllulose,,1.0,,,,
allulose,,0.5625,0.5416666666666666,,,
wincoMonkFruitAndErythritol,,,,0.3125,,
monk fruit extact,,4.3,,,,
MonkFruitwithErythritol,,0.5416666666666666,0.9375,0.55625,,
inulin,,0.9375,,,,
coconutOil,0.4782608695652174,0.36666666666666664,0.42857142857142855,0.16666666666666666,,
better body food Coconut Oil,,,,,,
vegtableOil,0.125,,0.08333333333333333,0.07916666666666666,,
Crisco Vegtable Oil,,,0.15,0.103125,,
canolaOil,0.125,,,0.08854166666666667,,
house canolaOil,,,0.09375,0.078125,,
earthBalanceButter,,,0.4666666666666667,,,
Peanut Butter Powder,0.75,0.4,0.675,0.38125,,
mollasses ,0.5,,0.4166666666666667,,,
guitardChocolate Chips,0.5,,0.48333333333333334,0.39166666666666666,,
sunflower butter,,,0.46875,,,
peanut butter,,,0.375,,,
dried blueberrries,,,1.4285714285714286,,,
 nutritional yeast,,1.15625,1.3333333333333333,1.1875,0.61875,
 organic cane sugar,,,,,0.0875,
bakers flour,,,,,0.03,
 premium bakers flour,,,,,0.03625,
gf bakers flour,,,,,0.155,
