,ingredients,Serving Size (cups),Serving Size (grams),Total Fat,Saturated Fat,Trans Fat,MonoUnsaturated Fat,PolyUnsaturated Fat,Cholesterol (mg),Sodium (mg) , Total Carbohydrates,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D (mcg ),Calcium (mg) ,Iron (mg),Potassium (mg),Thiamin  (mg),Niacin,Folate (mcg),Phosphorus (mg),magnessium(mg)
0,bobsRedMillwholeWheatPastryFlour,0.25,30.0,0.5,0.0,0.0,,,0.0,0.0,23.0,3.0,0.0,0.0,4.0,0.0,7.0,1.0,111.0,,,,,
1,allPuroseFlour,0.25,30.0,0.0,0.0,0.0,,,0.0,0.0,23.0,1.0,0.0,0.0,3.0,,,1.5,0.1,0.2,1.8,90.0,,
2,AlmondFlour,0.25,30.0,15.0,1.5,0.0,,,0.0,0.0,6.0,3.0,1.0,0.0,7.0,0.0,60.0,1.0,200.0,,,,,
3,Quaker Oats,0.5,40.0,3.0,0.5,0.0,1.0,1.0,0.0,0.0,27.0,4.0,1.0,0.0,5.0,0.0,20.0,1.5,150.0,0.2,,,130.0,40.0
4,cocoaPowder,0.0625,5.0,0.5,0.0,0.0,,,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,10.0,1.8,282.0,,,,,
5,wincoWholeWheatPastryFlour,0.25,30.0,0.0,0.0,0.0,,,0.0,0.0,23.0,4.0,0.0,0.0,3.0,0.0,0.0,0.72,0.0,,,,,
6,cakeFlour,0.25,28.0,0.0,0.0,0.0,,,0.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,1.3,30.0,0.25,1.9,80.0,,
7,bobsRedMIllPastryFlour,0.25,34.0,0.5,0.0,0.0,,,0.0,0.0,26.0,1.0,0.0,0.0,3.0,0.0,6.0,2.0,58.0,0.2,1.0,127.0,,
8,PeaProteinPowder,,26.0,3.5,1.0,0.0,,,0.0,190.0,0.0,0.0,0.0,0.0,20.0,0.0,48.0,7.0,5.0,,,,,
9,soyProteinPowder Isolate,0.25,30.0,0.0,0.0,0.0,,,0.0,220.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,2.3,25.0,,,,,
10,brownRiceProteinPowder,0.0625,5.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.3,0.0,,,,,
11,wheyAndCaseinProteinPowder,,29.5,1.0,0.5,0.0,,,30.0,230.0,2.0,0.0,1.0,0.0,23.0,0.0,6.0,0.0,270.0,,,,,
12,bakingSoda,0.0026041666666666665,0.6,0.0,,,,,,150.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
13,bakingPowder,0.0026041666666666665,0.6,0.0,,,,,,60.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
14,cinamon,0.0625,,0.22,,,0.03,0.04,0.0,1.77,5.43,3.69,0.15,,0.26,,83.5,2.59,34.0,0.01,0.09,1.97,4.15,3.81
15,nutmeg,0.0625,7.0,2.5,1.8,,,,0.0,1.0,3.5,1.5,2.0,,0.4,0.0,10.0,0.18,,,,,,12.6
16,cardamom,0.0625,5.8,0.4,0.0,,,,0.0,1.0,4.0,1.6,,,0.6,0.0,20.0,0.72,,,,,,12.6
17,xanthamGum,0.125,9.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
18,Salt,0.020833333333333332,6.0,0.0,0.0,,,,0.0,2325.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0
19,guarGuam,0.0625,10.0,0.5,0.0,0.0,,,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,27.0,0.0,560.0,,,,,
20,cornStarch,0.0625,8.0,0.0,,,,,,0.0,7.0,,,,0.0,,,,,,,,,
21,vanillaExtract,0.020833333333333332,0.020833333333333332,0.0,0.0,,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Almond Extract,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,naturesFlavorsButterExtract,,1.0,0.0,0.0,0.0,,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,espressoPowder,0.020833333333333332,2.0,0.0,,,,,,5.0,2.0,,,,0.0,,,,,,,,,
25,bobsRedMillEggReplacer,0.0625,10.0,0.0,0.0,0.0,,,0.0,320.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,,,,,
26,flaxMeal,0.125,13.0,3.5,0.0,0.0,1.0,2.5,0.0,0.0,5.0,3.0,0.0,0.0,3.0,0.0,20.0,1.0,108.0,,,,,
27,water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,chiaSeeds,0.125,26.0,7.0,0.5,0.0,0.5,6.0,0.0,0.0,10.0,10.0,0.0,0.0,6.0,0.0,132.0,2.0,198.0,,,,,
29,ErythritlInWater,0.03125,6.0,0.0,,,,,,0.0,6.0,,,,0.0,0.0,,,0.0,,,999.0,,
30,splendaInWater,2.0,10.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
31,whiteSugar,0.041666666666666664,8.0,0.0,0.0,0.0,,,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,
32,Powdered Erythritol,0.03125,6.0,0.0,,,,,,0.0,6.0,,,,0.0,0.0,,,0.0,,,999.0,,
33,lightBrownSugar,0.041666666666666664,8.0,0.0,0.0,0.0,,,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,
34,darkBrownSugar,0.041666666666666664,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,5.8,0.0,5.8,5.8,0.0,0.0,5.0,0.0,0.0,,,,,
35,erythritol,0.03125,6.0,0.0,,,,,,0.0,6.0,,,,0.0,0.0,,,0.0,,,999.0,,
36,xylitol,0.041666666666666664,8.0,0.0,0.0,0.0,,,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,999.0,,
37,splendaSucralose,2.0,10.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
38,monkFruitAndAllulose,2.0,8.0,0.0,,,,,,,8.0,0.0,0.0,0.0,0.0,,,,,,,,,
39,allulose,2.0,9.0,0.0,,,,,,,8.0,0.0,0.0,0.0,0.0,,,,,,,,,
40,wincoMonkFruitAndErythritol,2.0,8.0,0.0,,,,,,,8.0,0.0,0.0,0.0,0.0,,,,,,,,,
41,bulk suplements monk fruit extract,0.015625,2.0,,,,,,,,,,,,,,,,,,,,,
42,inulin,0.0625,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,
43,coconutOil,0.0625,14.0,14.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
44,vegtableOil,0.0625,14.0,14.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,
45,canolaOil,1.0,14.0,14.0,1.0,0.0,8.0,4.0,,0.0,0.0,,,,0.0,,,,,,,,,
46,earthBalanceButter,0.0625,11.0,9.0,2.5,0.0,3.0,3.0,,100.0,0.0,,,,0.0,,,,,,,,,
47,aquafabaButter,,,,,,,,,,,,,,,,,,,,,,,
48,"VeganBUTTER From Coco OOL, canolaoil, rapseedoil,nutritionalyeast ",0.0625,11.777105823863637,11.286536931818182,9.534997798295455,1.1887734375,10.916046164772727,10.1887734375,1.1887734375,0.9090909090909092,0.18181818181818182,1.2796825284090911,1.1887734375,1.1887734375,0.2727272727272727,73.1887734375,73.1887734375,73.21604616477273,83.1887734375,73.47059161931818,74.7796825284091,109.55240980113636,82.1887734375,82.1887734375
49,"Vegan Butter with AppleCider,yeast",0.0625,11.777105823863637,11.286536931818182,9.534997798295455,1.1887734375,10.916046164772727,10.1887734375,1.1887734375,0.9090909090909092,0.18181818181818182,1.2796825284090911,1.1887734375,1.1887734375,0.2727272727272727,73.1887734375,73.1887734375,73.21604616477273,83.1887734375,73.47059161931818,74.7796825284091,109.55240980113636,82.1887734375,82.1887734375
50,Peanut Butter Powder,0.125,16.0,2.0,0.0,0.0,,,0.0,95.0,6.0,2.0,3.0,2.0,8.0,0.0,20.0,0.36,188.0,,,,,
51,water for Peanut Butter Powder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,mollasses ,0.0625,14.0,0.0,,,,,,5.0,16.0,1.0,15.0,,0.0,0.0,30.0,0.7,200.0,,,,,10.0
53,Chocolate Chips,,15.0,4.5,2.5,0.0,,,0.0,0.0,10.0,0.0,8.0,8.0,0.0,0.0,6.0,1.0,51.0,,,,,
54,Butter,0.0625,14.0,12.0,7.0,0.0,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,,,,,
55,sunflower butter,0.125,32.0,18.0,2.0,0.0,,,0.0,110.0,4.0,2.0,0.0,0.0,8.0,0.0,20.0,1.8,235.0,,,,,
56,peanut butter,0.125,32.0,16.0,3.0,0.0,,,0.0,105.0,7.0,3.0,2.0,0.0,8.0,0.0,18.0,1.0,201.0,,,,,
57,egg,0.0625,8.5,0.9,0.3,,,,32.0,11.0,0.1,0.0,0.0,,1.1,0.15,0.0,0.0,11.0,,,,,
58,dried blueberrries,,,,,,,,,,,,,,,,,,,,,,,
59,rapseed oil1,0.422675,95.0,92.0,6.7,,,,,0.0,0.0,,,,0.0,,,,,,,,,
60,nutrional yeast,0.0625,5.0,0.0,0.0,0.0,,,0.0,10.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.3,110.0,3.1,17.5,400.0,,
61,rapseed oil balance,0.422675,40.154125,38.8861,2.8319225,41.844825,41.844825,41.844825,41.844825,0.0,0.0,41.844825,41.844825,41.844825,0.0,41.844825,41.844825,41.844825,41.844825,41.844825,41.844825,41.844825,41.844825,41.844825
62,bobsRedMillWholeWheat ,0.25,38.0,0.5,0.0,0.0,,,0.0,0.0,27.0,5.0,0.0,0.0,6.0,0.0,16.0,,147.0,,,,,
